home_team,removed_player,predicted_player,season
TOR,Jan Vesely,Jan Vesely,2012
BOS,E'Twaun Moore,E'Twaun Moore,2012
NYK,Earl Clark,Earl Clark,2012
MIA,Brandon Jennings,Brandon Jennings,2012
MEM,Dexter Pittman,Dexter Pittman,2012
DAL,Arron Afflalo,Arron Afflalo,2012
MEM,LeBron James,LeBron James,2012
SAC,Amir Johnson,Amir Johnson,2012
NJN,Raymond Felton,Raymond Felton,2013
NOP,Kevin Martin,Kevin Martin,2013
PHO,James Johnson,James Johnson,2013
CLE,O.J. Mayo,O.J. Mayo,2013
CLE,Shawn Marion,Shawn Marion,2013
LAL,Rudy Gay,Rudy Gay,2013
SAS,Marvin Williams,Marvin Williams,2013
GSW,Omer Asik,Omer Asik,2013
NJN,Tyson Chandler,Tyson Chandler,2013
BOS,Jeff Green,Jeff Green,2013
GSW,Omer Asik,Omer Asik,2013
TOR,Martell Webster,Martell Webster,2013
LAL,Zach Randolph,Zach Randolph,2013
SAC,Linas Kleiza,Linas Kleiza,2013
POR,Stephen Jackson,Stephen Jackson,2013
DAL,Andre Miller,Andre Miller,2013
OKC,Lavoy Allen,Lavoy Allen,2013
ORL,Marcin Gortat,Marcin Gortat,2013
CLE,Darren Collison,Darren Collison,2013
HOU,Gerald Green,Gerald Green,2013
PHI,Luke Babbitt,Luke Babbitt,2013
SAC,DeMar DeRozan,DeMar DeRozan,2013
DET,David Lee,David Lee,2013
PHI,LaMarcus Aldridge,LaMarcus Aldridge,2013
POR,Tony Parker,Tony Parker,2013
DET,Klay Thompson,Klay Thompson,2013
CLE,O.J. Mayo,O.J. Mayo,2013
MEM,LeBron James,LeBron James,2013
SAS,Marvin Williams,Marvin Williams,2013
PHO,Thomas Robinson,Thomas Robinson,2013
OKC,Kwame Brown,Kwame Brown,2013
NYK,Andrew Nicholson,Andrew Nicholson,2013
ORL,Goran Dragic,Goran Dragic,2013
LAL,Rudy Gay,Rudy Gay,2013
ORL,Goran Dragic,Goran Dragic,2013
MIA,Brandon Jennings,Brandon Jennings,2013
LAC,Metta World Peace,Metta World Peace,2013
DAL,Evan Fournier,Evan Fournier,2013
CHO,Kyrie Irving,Kyrie Irving,2013
BOS,Jeff Green,Jeff Green,2013
NYK,Gustavo Ayon,Gustavo Ayon,2013
TOR,Kevin Seraphin,Kevin Seraphin,2013
ATL,Kyle Korver,Kyle Korver,2013
CHA,Marco Belinelli,Marco Belinelli,2013
MIA,Ekpe Udoh,Ekpe Udoh,2013
DET,Stephen Curry,Stephen Curry,2013
PHI,Will Barton,Will Barton,2013
CLE,O.J. Mayo,O.J. Mayo,2013
MEM,Chris Bosh,Chris Bosh,2013
NYK,Andrew Nicholson,Andrew Nicholson,2013
POR,Tony Parker,Tony Parker,2013
POR,Boris Diaw,Boris Diaw,2013
DAL,JaVale McGee,JaVale McGee,2013
IND,Eric Bledsoe,Eric Bledsoe,2013
NOP,Hasheem Thabeet,Hasheem Thabeet,2013
BRK,C.J. Watson,C.J. Watson,2013
NOP,Kevin Martin,Kevin Martin,2013
NOP,Eric Maynor,Eric Maynor,2013
ATL,Zaza Pachulia,Zaza Pachulia,2013
SAS,Alec Burks,Alec Burks,2013
CLE,Dirk Nowitzki,Dirk Nowitzki,2013
BOS,Jared Sullinger,Jared Sullinger,2013
ORL,Jared Dudley,Jared Dudley,2013
DET,Stephen Curry,Stephen Curry,2013
DET,Stephen Curry,Stephen Curry,2013
NYK,Tobias Harris,Tobias Harris,2013
CHA,Richard Hamilton,Richard Hamilton,2013
HOU,Tyler Hansbrough,Tyler Hansbrough,2013
MIL,Ricky Rubio,Ricky Rubio,2013
CHO,Wayne Ellington,Wayne Ellington,2013
IND,Ronny Turiaf,Ronny Turiaf,2013
POR,Tony Parker,Tony Parker,2013
BOS,Brandon Bass,Brandon Bass,2013
CLE,Dirk Nowitzki,Dirk Nowitzki,2013
MIL,Alexey Shved,Alexey Shved,2013
SAS,Al Jefferson,Al Jefferson,2013
LAL,Zach Randolph,Zach Randolph,2013
DAL,Wilson Chandler,Wilson Chandler,2013
DEN,Rodney Stuckey,Rodney Stuckey,2013
POR,Tony Parker,Tony Parker,2013
DAL,Wilson Chandler,Wilson Chandler,2013
BOS,Rajon Rondo,Rajon Rondo,2013
MEM,Udonis Haslem,Udonis Haslem,2013
OKC,Spencer Hawes,Spencer Hawes,2013
NJN,Steve Novak,Steve Novak,2013
NJN,Raymond Felton,Raymond Felton,2013
NJN,Carmelo Anthony,Carmelo Anthony,2013
POR,Stephen Jackson,Stephen Jackson,2013
MEM,Mario Chalmers,Mario Chalmers,2013
SAS,Earl Watson,Earl Watson,2013
DEN,Jason Maxiell,Jason Maxiell,2013
TOR,John Wall,John Wall,2013
SAS,Derrick Favors,Derrick Favors,2013
LAC,Dwight Howard,Dwight Howard,2013
BOS,Courtney Lee,Courtney Lee,2013
PHO,Chuck Hayes,Chuck Hayes,2013
ATL,Josh Smith,Josh Smith,2013
DEN,Jason Maxiell,Jason Maxiell,2013
OKC,Nick Young,Nick Young,2013
MIL,J.J. Barea,J.J. Barea,2013
CHA,Taj Gibson,Taj Gibson,2014
IND,Reggie Bullock,Reggie Bullock,2014
ORL,Miles Plumlee,Miles Plumlee,2014
MIN,Greg Stiemsma,Greg Stiemsma,2014
IND,Blake Griffin,Blake Griffin,2014
POR,Boris Diaw,Boris Diaw,2014
DEN,Andre Drummond,Andre Drummond,2014
NYK,Arron Afflalo,Arron Afflalo,2014
POR,Boris Diaw,Boris Diaw,2014
ATL,Lou Williams,Lou Williams,2014
DAL,Evan Fournier,Evan Fournier,2014
SAS,Gordon Hayward,Gordon Hayward,2014
GSW,Chandler Parsons,Chandler Parsons,2014
TOR,Nene Hilario,Nene Hilario,2014
TOR,Al Harrington,Al Harrington,2014
CHA,Carlos Boozer,Carlos Boozer,2014
HOU,C.J. Watson,C.J. Watson,2014
BRK,Alan Anderson,Alan Anderson,2014
DAL,Ty Lawson,Ty Lawson,2014
HOU,Orlando Johnson,Orlando Johnson,2014
CLE,Samuel Dalembert,Samuel Dalembert,2014
CHA,Nazr Mohammed,Nazr Mohammed,2014
DET,David Lee,David Lee,2014
IND,Byron Mullens,Byron Mullens,2014
BRK,Paul Pierce,Paul Pierce,2014
MIL,Ricky Rubio,Ricky Rubio,2014
TOR,Bradley Beal,Bradley Beal,2014
DAL,J.J. Hickson,J.J. Hickson,2014
TOR,Bradley Beal,Bradley Beal,2014
MIN,Al-Farouq Aminu,Al-Farouq Aminu,2014
LAC,Jodie Meeks,Jodie Meeks,2014
IND,Blake Griffin,Blake Griffin,2014
BRK,Andray Blatche,Andray Blatche,2014
LAL,Mike Conley,Mike Conley,2014
TOR,Marcin Gortat,Marcin Gortat,2014
POR,Kawhi Leonard,Kawhi Leonard,2014
LAL,Mike Miller,Mike Miller,2014
SAC,Kyle Lowry,Kyle Lowry,2014
BRK,Deron Williams,Deron Williams,2014
HOU,Paul George,Paul George,2014
OKC,Michael Carter-Williams,Michael Carter-Williams,2014
CHO,Dion Waiters,Dion Waiters,2014
DAL,Timofey Mozgov,Timofey Mozgov,2014
IND,DeAndre Jordan,DeAndre Jordan,2014
ORL,Leandro Barbosa,Leandro Barbosa,2014
MIL,Kevin Martin,Kevin Martin,2014
IND,DeAndre Jordan,DeAndre Jordan,2014
NOP,Reggie Jackson,Reggie Jackson,2014
DEN,Josh Smith,Josh Smith,2014
DEN,Kyle Singler,Kyle Singler,2014
POR,Marco Belinelli,Marco Belinelli,2014
SAS,Trey Burke,Trey Burke,2014
MIN,Greg Stiemsma,Greg Stiemsma,2014
GSW,Terrence Jones,Terrence Jones,2014
CLE,Vince Carter,Vince Carter,2014
MIN,Ryan Anderson,Ryan Anderson,2014
CHO,Tyler Zeller,Tyler Zeller,2014
CHA,Tony Snell,Tony Snell,2014
MIA,Zaza Pachulia,Zaza Pachulia,2014
POR,Tony Parker,Tony Parker,2014
HOU,Roy Hibbert,Roy Hibbert,2014
LAL,Zach Randolph,Zach Randolph,2014
CHA,Tony Snell,Tony Snell,2014
DEN,Rodney Stuckey,Rodney Stuckey,2014
ATL,Paul Millsap,Paul Millsap,2014
MIN,Tyreke Evans,Tyreke Evans,2014
MIN,Anthony Davis,Anthony Davis,2014
TOR,Marcin Gortat,Marcin Gortat,2014
IND,Glen Davis,Glen Davis,2014
MEM,Mario Chalmers,Mario Chalmers,2014
POR,Tim Duncan,Tim Duncan,2014
DEN,Kyle Singler,Kyle Singler,2014
MEM,Mario Chalmers,Mario Chalmers,2014
OKC,Evan Turner,Evan Turner,2014
HOU,Paul George,Paul George,2014
POR,Kawhi Leonard,Kawhi Leonard,2014
PHO,Isaiah Thomas,Isaiah Thomas,2014
NOP,Kevin Durant,Kevin Durant,2014
DEN,Kyle Singler,Kyle Singler,2014
DEN,Greg Monroe,Greg Monroe,2014
MIN,Eric Gordon,Eric Gordon,2014
IND,Glen Davis,Glen Davis,2014
SAC,DeMar DeRozan,DeMar DeRozan,2014
BRK,Joe Johnson,Joe Johnson,2014
GSW,James Harden,James Harden,2014
HOU,Lance Stephenson,Lance Stephenson,2014
HOU,Ian Mahinmi,Ian Mahinmi,2014
CHA,Jimmy Butler,Jimmy Butler,2014
ORL,Marcus Morris,Marcus Morris,2014
MIL,Kevin Love,Kevin Love,2014
SAS,Enes Kanter,Enes Kanter,2014
DEN,Josh Smith,Josh Smith,2014
NJN,Iman Shumpert,Iman Shumpert,2014
CHO,Earl Clark,Earl Clark,2014
OKC,Hollis Thompson,Hollis Thompson,2014
POR,Danny Green,Danny Green,2014
MIN,Eric Gordon,Eric Gordon,2014
POR,Manu Ginobili,Manu Ginobili,2014
LAL,James Johnson,James Johnson,2014
OKC,Evan Turner,Evan Turner,2014
ATL,DeMarre Carroll,DeMarre Carroll,2015
DET,Andre Iguodala,Andre Iguodala,2015
PHI,Arron Afflalo,Arron Afflalo,2015
MIN,Alexis Ajinca,Alexis Ajinca,2015
PHO,Andre Miller,Andre Miller,2015
TOR,Bradley Beal,Bradley Beal,2015
DEN,Andre Drummond,Andre Drummond,2015
CLE,Chandler Parsons,Chandler Parsons,2015
CHI,Al Jefferson,Al Jefferson,2015
BOS,Jae Crowder,Jae Crowder,2015
NYK,Andrew Nicholson,Andrew Nicholson,2015
CLE,Tyson Chandler,Tyson Chandler,2015
DAL,Wilson Chandler,Wilson Chandler,2015
DAL,Ty Lawson,Ty Lawson,2015
POR,Tim Duncan,Tim Duncan,2015
DET,Stephen Curry,Stephen Curry,2015
ATL,Paul Millsap,Paul Millsap,2015
LAL,Tony Allen,Tony Allen,2015
NJN,Tim Hardaway,Tim Hardaway,2015
NYK,Victor Oladipo,Victor Oladipo,2015
SAC,Tyler Hansbrough,Tyler Hansbrough,2015
TOR,Rasual Butler,Rasual Butler,2015
MIA,Tyler Ennis,Tyler Ennis,2015
NYK,Victor Oladipo,Victor Oladipo,2015
CHO,Tristan Thompson,Tristan Thompson,2015
BOS,Kelly Olynyk,Kelly Olynyk,2015
POR,Tim Duncan,Tim Duncan,2015
NOP,Russell Westbrook,Russell Westbrook,2015
PHO,Reggie Evans,Reggie Evans,2015
MIN,Austin Rivers,Austin Rivers,2015
HOU,David West,David West,2015
NOP,Anthony Morrow,Anthony Morrow,2015
BOS,Brandon Bass,Brandon Bass,2015
ATL,Al Horford,Al Horford,2015
NJN,Jason Smith,Jason Smith,2015
ATL,Al Horford,Al Horford,2015
SAC,Patrick Patterson,Patrick Patterson,2015
CHO,James Jones,James Jones,2015
DAL,Ty Lawson,Ty Lawson,2015
CHO,LeBron James,LeBron James,2015
HOU,Rodney Stuckey,Rodney Stuckey,2015
SAC,Patrick Patterson,Patrick Patterson,2015
ATL,Kyle Korver,Kyle Korver,2015
CHA,Kirk Hinrich,Kirk Hinrich,2015
CHA,Kirk Hinrich,Kirk Hinrich,2015
MIN,Omer Asik,Omer Asik,2015
POR,Patty Mills,Patty Mills,2015
LAL,Vince Carter,Vince Carter,2015
HOU,Roy Hibbert,Roy Hibbert,2015
NJN,Tim Hardaway,Tim Hardaway,2015
BRK,Joe Johnson,Joe Johnson,2015
GSW,Kostas Papanikolaou,Kostas Papanikolaou,2015
CHI,Michael Kidd-Gilchrist,Michael Kidd-Gilchrist,2015
NYK,Elfrid Payton,Elfrid Payton,2015
CHI,Marvin Williams,Marvin Williams,2015
SAC,Kyle Lowry,Kyle Lowry,2015
OKC,Jerami Grant,Jerami Grant,2015
GSW,Terrence Jones,Terrence Jones,2015
LAL,Marc Gasol,Marc Gasol,2015
BOS,Jeff Green,Jeff Green,2015
PHI,Joel Freeland,Joel Freeland,2015
NOP,Kendrick Perkins,Kendrick Perkins,2015
MEM,Luol Deng,Luol Deng,2015
LAC,Jordan Hill,Jordan Hill,2015
LAC,Jeremy Lin,Jeremy Lin,2015
DET,Draymond Green,Draymond Green,2015
SAS,Gordon Hayward,Gordon Hayward,2015
PHI,Nicolas Batum,Nicolas Batum,2015
DAL,Gary Harris,Gary Harris,2015
SAS,Derrick Favors,Derrick Favors,2015
HOU,C.J. Watson,C.J. Watson,2015
NYK,Channing Frye,Channing Frye,2015
CHA,Jimmy Butler,Jimmy Butler,2015
NJN,Jason Smith,Jason Smith,2015
PHO,Derrick Williams,Derrick Williams,2015
BRK,Deron Williams,Deron Williams,2015
NOP,Perry Jones,Perry Jones,2015
TOR,Kevin Seraphin,Kevin Seraphin,2015
DET,Klay Thompson,Klay Thompson,2015
TOR,Nene Hilario,Nene Hilario,2015
ATL,Kent Bazemore,Kent Bazemore,2015
LAL,Tony Allen,Tony Allen,2015
NJN,Pablo Prigioni,Pablo Prigioni,2015
CHA,Pau Gasol,Pau Gasol,2015
BOS,Evan Turner,Evan Turner,2015
LAL,Mike Conley,Mike Conley,2015
PHO,Nik Stauskas,Nik Stauskas,2015
ORL,Marcus Morris,Marcus Morris,2015
MIL,Nikola Pekovic,Nikola Pekovic,2015
GSW,Josh Smith,Josh Smith,2015
TOR,Marcin Gortat,Marcin Gortat,2015
PHO,Derrick Williams,Derrick Williams,2015
OKC,Nerlens Noel,Nerlens Noel,2015
MIA,Khris Middleton,Khris Middleton,2015
BOS,James Young,James Young,2015
OKC,Ish Smith,Ish Smith,2015
DET,Harrison Barnes,Harrison Barnes,2015
GSW,Patrick Beverley,Patrick Beverley,2015
LAL,Marc Gasol,Marc Gasol,2015
MIA,Khris Middleton,Khris Middleton,2015
MIN,Kendrick Perkins,Mario Chalmers,2016
MEM,Joe Johnson,Gorgui Dieng,2016
PHI,Gerald Henderson,LaMarcus Aldridge,2016
HOU,Lavoy Allen,Ian Mahinmi,2016
ORL,Mirza Teletovic,Marcus Morris,2016
LAL,Matt Barnes,Mike Conley,2016
CHI,Spencer Hawes,Taj Gibson,2016
CHO,Tristan Thompson,Tristan Thompson,2016
IND,Wesley Johnson,Spencer Hawes,2016
MIN,Ish Smith,Jason Smith,2016
SAC,Jonas Valanciunas,Jonas Valanciunas,2016
HOU,Monta Ellis,Luis Scola,2016
BOS,R.J. Hunter,Marcus Thornton,2016
PHI,Damian Lillard,DeMar DeRozan,2016
MEM,Josh Richardson,Kendall Marshall,2016
LAC,Jordan Clarkson,Jamal Crawford,2016
TOR,Nene Hilario,Paul Pierce,2016
SAC,Terrence Ross,Terrence Ross,2016
OKC,T.J. McConnell,Tony Wroten,2016
BOS,Tyler Zeller,Tony Snell,2016
NYK,Elfrid Payton,Elfrid Payton,2016
BRK,Jarrett Jack,Jarrett Jack,2016
IND,Josh Smith,Ian Mahinmi,2016
CHA,Joakim Noah,Joakim Noah,2016
PHI,Damian Lillard,DeMar DeRozan,2016
CLE,Devin Harris,Devin Harris,2016
SAS,Joe Ingles,Joe Ingles,2016
PHO,Kosta Koufos,DeMarcus Cousins,2016
MIL,Shabazz Muhammad,Quincy Pondexter,2016
ORL,Devin Booker,Eric Bledsoe,2016
POR,Tony Parker,Tony Parker,2016
BRK,Thomas Robinson,Tyler Zeller,2016
OKC,Nerlens Noel,Nerlens Noel,2016
IND,Paul Pierce,Spencer Hawes,2016
CHO,Tristan Thompson,Tristan Thompson,2016
CHO,Tristan Thompson,Tristan Thompson,2016
ATL,Tiago Splitter,Tony Snell,2016
CLE,J.J. Barea,Monta Ellis,2016
MIL,Nemanja Bjelica,Mario Chalmers,2016
OKC,Carl Landry,Furkan Aldemir,2016
CHO,Kevin Love,Kevin Love,2016
TOR,John Wall,Kevin Seraphin,2016
HOU,Solomon Hill,Roy Hibbert,2016
IND,Luc Mbah a Moute,Matt Barnes,2016
PHI,Gerald Henderson,Joel Freeland,2016
NYK,Nikola Vucevic,Nikola Vucevic,2016
CHA,Pau Gasol,Joe Johnson,2016
CHA,Pau Gasol,Pau Gasol,2016
BRK,Donald Sloan,Arron Afflalo,2016
MEM,Dwyane Wade,Chris Andersen,2016
TOR,Bradley Beal,Bradley Beal,2016
PHI,Allen Crabbe,Arron Afflalo,2016
LAC,Brandon Bass,Jason Smith,2016
NJN,Lance Thomas,Langston Galloway,2016
SAC,DeMar DeRozan,DeMar DeRozan,2016
CHO,J.R. Smith,J.R. Smith,2016
MEM,Chris Bosh,Brandon Knight,2016
NJN,Arron Afflalo,Andrea Bargnani,2016
SAS,Derrick Favors,Derrick Favors,2016
DEN,Aron Baynes,Andre Drummond,2016
HOU,C.J. Miles,David West,2016
CLE,Charlie Villanueva,Brandon Knight,2016
POR,Boris Diaw,Boris Diaw,2016
TOR,Bradley Beal,Andre Miller,2016
MEM,Gerald Green,Dwyane Wade,2016
NOP,Dion Waiters,Andre Roberson,2016
LAC,Anthony Brown,Anthony Bennett,2016
HOU,George Hill,Donald Sloan,2016
CHA,Taj Gibson,Pau Gasol,2016
MIL,Tyus Jones,Robbie Hummel,2016
ORL,P.J. Tucker,Nikola Vucevic,2016
MEM,Dwyane Wade,Courtney Lee,2016
GSW,James Harden,James Harden,2016
OKC,Hollis Thompson,Elliot Williams,2016
ATL,Kyle Korver,Kyle Korver,2016
BRK,Bojan Bogdanovic,J.J. Hickson,2016
SAC,DeMar DeRozan,DeMar DeRozan,2016
NJN,Carmelo Anthony,Jason Smith,2016
GSW,Dwight Howard,Dwight Howard,2016
NOP,Kevin Durant,Kevin Durant,2016
NJN,Derrick Williams,Jason Smith,2016
PHI,Damian Lillard,Eric Bledsoe,2016
SAC,Jonas Valanciunas,Jonas Valanciunas,2016
HOU,Ian Mahinmi,James Harden,2016
DET,Andrew Bogut,Andrew Bogut,2016
NOP,Kevin Durant,Reggie Jackson,2016
PHI,Allen Crabbe,Arron Afflalo,2016
NYK,Elfrid Payton,Elfrid Payton,2016
MIA,Greg Monroe,Giannis Antetokounmpo,2016
MIN,Norris Cole,Luke Babbitt,2016
TOR,Nene Hilario,Kevin Seraphin,2016
ORL,P.J. Tucker,Markieff Morris,2016
DET,Klay Thompson,Klay Thompson,2016
POR,LaMarcus Aldridge,Manu Ginobili,2016
DET,Leandro Barbosa,Klay Thompson,2016
MIL,Ricky Rubio,Russell Westbrook,2016
BRK,Shane Larkin,Mason Plumlee,2016
SAC,Jonas Valanciunas,Kyle Lowry,2016
CHI,Frank Kaminsky,Gerald Henderson,2016
BRK,Wayne Ellington,Tony Snell,2016
